    221  6  4  310   9 2p10p            5.00143E-01  9.0
    222  6  4  311   1 2s 2p           -3.03283E+00  9.0
    223  6  4  311   2 2s 3p           -1.15013E+00  9.0
    224  6  4  311   3 2p 3s           -7.04145E-01  9.0
    225  6  4  311   4 2s 4p           -6.22372E-01  9.0
    226  6  4  311   5 2p 3d           -4.13555E-01  9.0
    227  6  4  311   6 2s 5p           -3.80380E-01  9.0
    228  6  4  311   7 2s 6p           -2.65544E-01  9.0
    229  6  4  311   8 2s 7p           -1.93593E-01  9.0
    230  6  4  311   9 2s 8p           -1.47304E-01  9.0
    231  6  4  311  10 2s 9p           -1.15830E-01  9.0
    232  6  4  311  11 2s10p           -9.35104E-02  9.0
    233  6  4  320   1 2s 3d           -1.05824E+00 15.0
    234  6  4  320   2 2s 4d           -5.88515E-01 15.0
    235  6  4  320   3 2p 3p           -5.69686E-01 15.0
    236  6  4  320   4 2s 5d           -3.70982E-01 15.0
    237  6  4  320   5 2s 6d           -2.56299E-01 15.0
    238  6  4  320   6 2s 7d           -1.87618E-01 15.0
    239  6  4  320   7 2s 8d           -1.43258E-01 15.0
    240  6  4  320   8 2s 9d           -1.12956E-01 15.0
    241  6  4  320   9 2s10d           -9.13434E-02 15.0
    242  6  4  321   1 2p 3d           -4.36097E-01 15.0
    243  6  4  321   2 2p 4d            1.85223E-02 15.0
    244  6  4  321   3 2p 5d            2.26958E-01 15.0
    245  6  4  321   4 2p 6d            3.39318E-01 15.0
    246  6  4  321   5 2p 7d            4.06861E-01 15.0
    247  6  4  321   6 2p 8d            4.50599E-01 15.0
    248  6  4  321   7 2p 9d            4.80533E-01 15.0
    249  6  4  321   8 2p10d            5.01913E-01 15.0
    250  6  4  330   1 2p 4f            2.23975E-02 21.0
    251  6  4  330   2 2p 5f            2.28962E-01 21.0
    252  6  4  330   3 2p 6f            3.40486E-01 21.0
    253  6  4  330   4 2p 7f            4.07609E-01 21.0
    254  6  4  330   5 2p 8f            4.51106E-01 21.0
    255  6  4  330   6 2p 9f            4.80891E-01 21.0
    256  6  4  330   7 2p10f            5.02176E-01 21.0
    257  6  4  331   1 2s 4f           -5.84786E-01 21.0
    258  6  4  331   2 2p 3d           -4.77162E-01 21.0
    259  6  4  331   3 2s 5f           -3.55534E-01 21.0
    260  6  4  331   4 2s 6f           -2.49400E-01 21.0
    261  6  4  331   5 2s 7f           -1.83737E-01 21.0
    262  6  4  331   6 2s 8f           -1.40852E-01 21.0
